ID,Espèce,Chemin d'accès
77,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\77.jpg
78,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\78.jpg
79,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\79.jpg
8,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\8.jpg
80,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\80.jpg
81,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\81.jpg
82,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\82.jpg
83,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\83.jpg
84,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\84.jpg
85,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\85.jpg
86,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\86.jpg
87,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\87.jpg
88,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\88.jpg
89,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\89.jpg
9,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\9.jpg
90,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\90.jpg
91,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\91.jpg
92,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\92.jpg
93,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\93.jpg
94,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\94.jpg
95,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\95.jpg
96,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\96.jpg
97,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\97.jpg
98,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\98.jpg
99,samsung,C:\Users\marhr\Desktop\ia_fin\dataset\samsung\99.jpg
