ID,Espèce,Chemin d'accès
144,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\144.jpg
145,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\145.jpg
146,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\146.jpg
147,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\147.jpg
148,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\148.jpg
149,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\149.jpg
15,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\15.jpg
150,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\150.jpg
151,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\151.jpg
152,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\152.jpg
153,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\153.jpg
16,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\16.jpg
17,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\17.jpg
18,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\18.jpeg
19,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\19.jpg
2,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\2.jpeg
20,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\20.jpg
21,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\21.jpg
22,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\22.jpg
23,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\23.jpg
24,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\24.jpg
25,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\25.jpg
26,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\26.jpg
27,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\27.jpg
28,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\28.jpg
29,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\29.jpg
3,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\3.jpg
30,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\30.jpeg
31,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\31.jpg
32,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\32.jpg
33,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\33.jpg
34,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\34.jpg
35,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\35.png
36,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\36.jpg
37,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\37.jpg
38,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\38.jpg
39,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\39.jpg
4,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\4.jpg
40,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\40.png
41,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\41.png
42,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\42.jpg
43,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\43.jpg
44,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\44.jpg
45,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\45.png
46,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\46.jpg
47,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\47.jpg
48,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\48.jpg
49,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\49.jpg
50,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\50.jpg
51,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\51.jpg
52,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\52.jpeg
53,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\53.jpg
54,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\54.jpg
55,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\55.jpg
56,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\56.jpg
57,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\57.gif
58,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\58.jpg
59,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\59.jpg
6,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\6.jpg
60,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\60.jpg
61,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\61.jpg
62,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\62.jpg
63,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\63.jpg
64,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\64.jpg
65,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\65.jpg
66,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\66.jpg
67,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\67.jpg
68,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\68.jpg
69,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\69.jpg
7,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\7.png
70,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\70.jpg
71,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\71.jpg
72,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\72.jpg
73,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\73.jpg
74,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\74.jpg
75,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\75.jpg
76,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\76.jpg
77,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\77.jpg
78,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\78.jpg
79,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\79.jpg
8,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\8.jpg
80,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\80.jpg
81,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\81.jpg
82,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\82.jpg
83,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\83.jpg
84,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\84.jpg
85,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\85.jpg
86,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\86.png
87,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\87.jpg
88,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\88.jpg
89,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\89.jpg
9,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\9.jpg
90,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\90.jpg
91,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\91.jpg
92,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\92.jpg
93,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\93.jpg
94,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\94.jpg
95,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\95.jpeg
96,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\96.jpeg
97,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\97.jpeg
98,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\98.jpeg
99,macbook,C:\Users\marhr\Desktop\ia_fin\dataset\macbook\99.jpeg
